SEMESTER,SUBJECT,CATALOGNUMBER,LOCATION,ENROLMENTCAPACITY,ENROLMENTTOTAL,INSTRUCTORS,COMPONENTCODE
1031,ITEC,239,SURREY,0,0,Paraskevas Polydorou,WKS
1141,CMPT,705,BURNABY,40,32,Valentine Kabanets,LEC
1027,IART,600,SURREY,20,6,Thecla Schiphorst,WKS
1014,IART,318,BURNABY,9999,0,(null),CNV
1067,ENSC,488,BURNABY,50,0,(null),OPL
1121,ENSC,150,BURNABY,40,34,(null),TUT
1047,CMNS,240,HRBRCNTR,18,13,(null),TUT
1131,ENSC,898,OFF,50,2,(null),SEC
1151,CMPT,120,BURNABY,26,26,Diana Cukierman,LAB
1081,CMNS,130W,SURREY,16,12,(null),TUT
1057,ITEC,319,SURREY,24,0,(null),WKS
1154,MSE,405W,SURREY,50,33,Maureen Hindy,TUT
1127,CMPT,165,BURNABY,208,208,Anne Lavergne,LEC
1037,IART,212,SURREY,42,0,(null),INS
1077,CMPT,128,SURREY,32,32,(null),LAB
1131,CMPT,135,SURREY,0,0,Louis Hafer,LAB
1087,CMNS,479,OFF,15,2,. Faculty,SEC
1144,MSE,394,SURREY,50,2,Harriet Chicoine,SEC
1124,ENSC,332,SURREY,30,0,(null),LAB
1097,ENSC,220,SURREY,72,54,Ahmad Rad,LEC
1141,ENSC,495,BURNABY,6,0,(null),LAB
1057,CMNS,445,BURNABY,35,38,Ying-Fen Huang,SEM
1074,CMNS,375,HRBRCNTR,16,17,(null),TUT
1037,TECH,149,SURREY,48,0,(null),WKS
1057,CMNS,253,HRBRCNTR,0,0,(null),LAB
1057,REM,663,BURNABY,20,10,Sean Cox,SEM
1031,CMNS,898,BURNABY,50,22,(null),SEC
1061,KIN,311,BURNABY,36,35,Amandio Vieira,SEC
1054,CMPT,814,BURNABY,30,0,(null),LEC
1041,IART,244,SURREY,72,52,"Kenneth Newby, Teresa Chanyungco, Thomas Calvert",INS
1124,ENSC,332,SURREY,30,0,(null),LAB
1117,CMPT,225,SURREY,26,26,John Edgar,LAB
1111,CMPT,125,SURREY,24,19,Brian Fraser,LAB
1111,CMPT,110,BURNABY,40,36,Richard Frank,LEC
1027,IART,601,SURREY,20,5,Susan Kozel,WKS
1041,TECH,101,SURREY,48,47,"Elizabeth Fee, Katherine Maas, Teresa Chanyungco, Thomas Calvert",INS
1091,CMPT,165,BURNABY,33,33,Colin Stewart,LAB
1047,CMNS,473,HRBRCNTR,14,14,(null),LAB
1051,CMPT,413,BURNABY,65,14,Anoop Sarkar,LEC
1027,TECH,111,SURREY,28,30,(null),OLC
1021,TECH,121,SURREY,999,0,(null),INS
1041,TECH,108,SURREY,25,1,"Elizabeth Fee, Monica Sturgess, Teresa Chanyungco, Thomas Calvert",INS
1014,CMNS,435,BURNABY,9999,0,(null),CNV
1004,ENSC,883,BURNABY,9999,0,(null),CNV
1057,CMNS,253,HRBRCNTR,18,13,(null),LAB
1044,ENSC,460,BURNABY,30,15,Mirza Beg,LEC
1034,CMNS,347,HRBRCNTR,40,35,Robert Anderson,LEC
1034,CMNS,347,HRBRCNTR,10,11,(null),TUT
1067,IAT,353,SURREY,24,6,Helmine Serban,LAB
1007,TECH,151,BURNABY,9999,0,(null),CNV
1071,TECH,101W,SURREY,48,48,Monica Sturgess,INS
1091,ENSC,406,BURNABY,15,15,(null),TUT
1067,MACM,101,BURNABY,40,13,Anthony Dixon,SEC
1081,KIN,445,HRBRCNTR,15,15,Scott Lear,LEC
1074,CMNS,375,HRBRCNTR,16,17,(null),TUT
1047,TECH,104,SURREY,10,0,(null),INS
1107,CMPT,128,SURREY,0,0,(null),LAB
1107,ENSC,104,SURREY,30,30,(null),LAB
1084,IAT,897,SURREY,30,9,(null),SEC
1114,ENSC,384,SURREY,30,0,(null),LAB
1137,MSE,100,SURREY,27,27,Krishna Vijayaraghavan,LAB
1037,ITEC,274,SURREY,0,0,(null),INS
1061,ENSC,351,BURNABY,20,16,(null),LAB
1081,IAT,100,SURREY,24,24,Jack Stockholm III,STL
1061,CMNS,240,HRBRCNTR,18,18,(null),TUT
1091,ENSC,406,BURNABY,15,16,(null),TUT
1047,CMPT,120,SURREY,29,25,(null),TUT
1091,ENSC,406,BURNABY,105,91,Michael Sjoerdsma,LEC
1041,KIN,382,BURNABY,32,30,Stephen Brown,LEC
1037,KIN,142,BURNABY,18,18,(null),LAB
1071,CMNS,220,BURNABY,18,19,(null),TUT
1021,IART,223,SURREY,999,0,(null),STL
1051,CMPT,898,BURNABY,80,73,. Faculty,SEC
1084,ENSC,898,BURNABY,75,54,. Faculty,SEC
1027,CMPT,370,BURNABY,0,0,(null),OPL
1091,CMPT,165,BURNABY,190,188,Colin Stewart,LEC
1037,KIN,142,BURNABY,18,17,(null),LAB
1074,CMNS,448,BURNABY,10,1,(null),SEC
1014,ENSC,305,BURNABY,9999,0,(null),CNV
1034,CMNS,428,BURNABY,20,9,Stephen Kline,SEM
1091,CMPT,165,BURNABY,33,33,Colin Stewart,LAB
1051,IAT,206,SURREY,48,48,Niranjan Rajah,LEC
1091,ENSC,406,BURNABY,15,15,(null),TUT
1057,CMNS,253,HRBRCNTR,72,81,John Maxwell,LEC
1057,CMNS,253,HRBRCNTR,1,14,(null),LAB
1041,CMNS,304,BURNABY,18,18,(null),TUT
1034,MTEC,697,SURREY,25,0,(null),SEC
1071,MACM,101,BURNABY,25,25,(null),TUT
1091,CMNS,891,BURNABY,5,0,Marcia Shimizu,SEC
1044,CMPT,889,BURNABY,30,4,Richard Vaughan,LEC
1077,CMNS,110,BURNABY,18,19,(null),TUT
1097,ENSC,220,BURNABY,100,0,(null),OPL
1011,CMNS,448,BURNABY,9999,0,(null),CNV
1077,WKTM,400,SURREY,50,8,"Frances McLafferty, Navinder Chima",SEC
1071,MACM,101,BURNABY,25,24,(null),TUT
1021,INTD,305,SURREY,999,0,(null),OLC
1091,ENSC,853,BURNABY,30,9,Marek Syrzycki,LEC
1131,ENSC,898,BURNABY,100,39,(null),SEC
1134,CMPT,120,BURNABY,26,25,Muntaseer Salahuddin,LAB
1137,ENSC,100,BURNABY,0,0,(null),TUT
1161,MSE,293,OFF,10,3,Stephanie DeRapp,SEC
1077,IAT,410,SURREY,96,78,Magy Seif El-Nasr,LEC
1074,CMPT,880,BURNABY,20,0,(null),LEC
1144,CMPT,135,SURREY,2,1,Toby Donaldson,LAB
1047,ENSC,897,BURNABY,30,8,(null),SEC
1147,CMPT,250,SURREY,24,23,Brian Fraser,LAB
1134,CMPT,120,BURNABY,182,174,Muntaseer Salahuddin,LEC
1064,KIN,312,BURNABY,50,50,. Sessional,SEC
1081,CMPT,165,BURNABY,165,159,Ehsan Amiri,LEC
1057,KIN,205,BURNABY,72,72,Andrew Blaber,LEC
1097,CMPT,354,BURNABY,78,74,Ke Wang,LEC
1091,IAT,102,SURREY,24,24,Yin Wu,STL
1067,KIN,205,BURNABY,18,17,(null),TUT
1087,CMNS,110,SURREY,18,19,(null),TUT
1084,KIN,205,BURNABY,19,7,(null),TUT
1127,ENSC,396,BURNABY,25,0,(null),SEC
1001,CMNS,845,BURNABY,9999,0,(null),CNV
1024,CMPT,320,BURNABY,20,20,(null),TUT
1077,CMNS,130W,BURNABY,16,13,(null),TUT
1134,CMPT,428,OFF,5,2,Harriet Chicoine,SEC
1074,CMNS,387,HRBRCNTR,18,8,(null),TUT
1074,CMNS,387,HRBRCNTR,18,15,(null),TUT
1061,CMNS,220,HRBRCNTR,18,17,(null),TUT
1077,CMPT,165,BURNABY,151,146,Anne Lavergne,LEC
1081,CMPT,165,BURNABY,35,33,(null),LAB
1071,CMNS,235,BURNABY,60,57,Donald Gutstein,LEC
1061,CMNS,220,HRBRCNTR,18,19,(null),TUT
1054,CMNS,223,BURNABY,144,133,Beverley Best,LEC
1141,CMPT,880,BURNABY,15,10,Oliver Schulte,LEC
1087,KIN,382,BURNABY,8,8,(null),LAB
1087,KIN,382,BURNABY,8,8,(null),LAB
1054,CMNS,223,BURNABY,18,17,(null),TUT
1041,CMNS,304,BURNABY,18,17,(null),TUT
1164,ENSC,498,BURNABY,10,5,(null),SEC
1087,IAT,355,SURREY,48,25,Christopher Shaw,LEC
1061,CMPT,885,BURNABY,5,0,Ljiljana Trajkovic,LEC
1061,CMPT,110,SURREY,53,40,John Edgar,LEC
1137,ENSC,383,BURNABY,85,70,Carlo Menon,LEC
1061,CMNS,220,HRBRCNTR,126,128,Nancy Shaw,LEC
1024,CMPT,110,BURNABY,125,98,Anthony Dixon,LEC
1061,IAT,208,SURREY,24,25,Yaana Dancer,STL
1091,MACM,300,BURNABY,30,14,Pavol Hell,LEC
1091,CMNS,472,HRBRCNTR,25,25,Jamie Broadhurst,SEM
1051,KIN,807,BURNABY,10,0,Robert Schutz,SEM
1004,CMPT,487,BURNABY,9999,0,(null),CNV
1084,CMNS,323,HRBRCNTR,13,7,(null),TUT
1084,CMNS,323,HRBRCNTR,70,64,Shane Gunster,LEC
1007,CMNS,859,BURNABY,9999,0,(null),CNV
1021,TECH,121,SURREY,999,0,(null),INS
1141,CMPT,354,BURNABY,75,70,Oliver Schulte,LEC
1147,CMPT,250,SURREY,10,10,Brian Fraser,LAB
1017,CMPT,361,BURNABY,9999,0,(null),CNV
1034,CMNS,347,HRBRCNTR,10,9,(null),TUT
1044,KIN,448,BURNABY,35,24,Joaquin Hoffer,LEC
1144,CMPT,426,VAN,10,9,Harriet Chicoine,SEC
1021,MTEC,316,SURREY,999,0,(null),CNV
1071,MACM,101,BURNABY,25,14,(null),TUT
1067,CMPT,250,SURREY,20,0,(null),LAB
1001,ETEC,601,BURNABY,9999,0,(null),CNV
1077,CMNS,130W,BURNABY,16,16,(null),TUT
1081,REM,100,BURNABY,18,16,. Tbd,TUT
1054,KIN,499,BURNABY,3,3,(null),SEC
1004,CMNS,240,BURNABY,9999,0,(null),CNV
1111,CMPT,441,BURNABY,15,7,Kay Wiese,LEC
1091,CMNS,230,BURNABY,18,19,(null),TUT
1081,CMPT,165,BURNABY,25,25,(null),LAB
1097,ENSC,100,BURNABY,3,3,(null),RQL
1037,CMNS,223,BURNABY,141,138,Zoe Druick,LEC
1041,ITEC,899,SURREY,15,3,(null),SEC
1037,CMNS,223,BURNABY,18,17,(null),TUT
1047,ITEC,316,SURREY,25,2,Helmine Serban,STL
1037,ENSC,892,BURNABY,30,1,(null),SEC
1037,CMNS,261,BURNABY,18,17,(null),TUT
1097,ENSC,100,BURNABY,0,0,(null),RQL
1031,INTD,215,SURREY,48,22,John Bowes,INS
1031,ITEC,216,SURREY,0,0,Helmine Serban,OPL
1087,ENSC,472,BURNABY,20,5,(null),LAB
1091,CMNS,428,HRBRCNTR,50,64,Roman Onufrijchuk,SEC
1147,ENSC,100W,BURNABY,8,8,(null),TUT
1061,IAT,354,SURREY,24,10,John Dill,LAB
1021,TECH,139,SURREY,50,0,(null),STL
1091,CMNS,448,OFF,5,0,. Faculty,SEC
1091,IAT,102,SURREY,192,191,Andres Wanner,LEC
1061,IAT,209,SURREY,48,16,Chantal Gibson,OLC
1061,IAT,209,SURREY,48,16,Chantal Gibson,INS
1071,CMNS,235,BURNABY,0,0,(null),TUT
1081,CMNS,304W,BURNABY,15,15,(null),TUT
1137,CMPT,250,SURREY,26,26,Brian Fraser,LAB
1084,CMPT,481,BURNABY,20,5,Yaroslav Litus,LEC
1014,ENSC,499,BURNABY,9999,0,(null),CNV
1111,ENSC,195,OFF,15,10,(null),SEC
1077,CMNS,110,BURNABY,18,18,(null),TUT
1071,CMNS,235,BURNABY,15,16,(null),TUT
1077,CMNS,353,HRBRCNTR,18,16,(null),LAB
1094,REM,690,BURNABY,10,1,. Faculty,SEC
1077,CMNS,110,BURNABY,360,349,Gary McCarron,LEC
1021,KIN,343,BURNABY,15,15,(null),LAB
1021,KIN,343,BURNABY,17,15,(null),LAB
1127,CMPT,430,METRO,2,1,"Harriet Chicoine, John McDonald",SEC
1127,CMPT,827,BURNABY,20,0,(null),LEC
1111,ENSC,350,BURNABY,0,0,(null),TUT
1014,MTEC,216,BURNABY,9999,0,(null),CNV
1004,REM,356,BURNABY,9999,0,(null),CNV
1037,ENSC,220,BURNABY,160,0,Meenakshinathan Parameswaran,LEC
1091,CMPT,899,BURNABY,100,89,(null),SEC
1091,ENSC,380,BURNABY,80,65,Atousa Hajshirmohammadi,LEC
1064,IART,898,SURREY,50,9,(null),SEC
1084,IAT,391,ITALY,14,14,Russell Taylor,LEC
1067,CMPT,225,SURREY,48,48,John Edgar,LEC
1057,ENSC,340,BURNABY,0,0,(null),OPL
1107,ENSC,296,OFF,10,1,(null),SEC
1004,CMPT,427,BURNABY,9999,0,(null),CNV
1011,CMPT,405,BURNABY,9999,0,(null),CNV
1117,CMPT,165,SURREY,26,24,Tamara Smyth,LAB
1031,ITEC,335,SURREY,24,3,Herbert Tsang,WKS
1004,REM,660,BURNABY,9999,0,(null),CNV
1037,CMNS,223,BURNABY,17,18,(null),TUT
1004,CMPT,426,BURNABY,9999,0,(null),CNV
1097,ENSC,100,BURNABY,0,0,(null),RQL
1147,CMPT,120,BURNABY,26,26,Diana Cukierman,LAB
1077,CMNS,110,BURNABY,18,20,(null),TUT
1101,ENSC,495,BURNABY,12,9,Albert Leung,LEC
1037,CMNS,261,BURNABY,18,20,(null),TUT
1007,ENSC,363,BURNABY,9999,0,(null),CNV
1121,CMPT,250,BURNABY,25,21,Anthony Dixon,LAB
1021,TECH,137,SURREY,50,0,(null),STL
1014,ITEC,252,BURNABY,9999,0,(null),CNV
1161,MSE,486,SURREY,5,0,(null),SEM
1147,MSE,110,SURREY,30,0,Amr Marzouk,LAB
1117,ENSC,494,BURNABY,5,7,(null),SEC
1127,CMPT,628,VAN,2,0,"Cristina Eftenaru, Harriet Chicoine",PRA
1014,KIN,460,BURNABY,9999,0,(null),CNV
1021,ENSC,406,BURNABY,15,16,(null),TUT
1007,CMPT,165,BURNABY,9999,0,(null),CNV
1094,CMNS,230,BURNABY,108,73,Vladan Pantic,LEC
1124,MACM,101,BURNABY,25,22,Steven Pearce,TUT
1124,MACM,101,BURNABY,25,21,Steven Pearce,TUT
1161,ENSC,196,OFF,10,2,Harriet Chicoine,SEC
1031,IART,220,SURREY,24,26,Stephen Dipaola,INS
1037,CMNS,223,BURNABY,17,16,(null),TUT
1097,ENSC,100,BURNABY,3,0,(null),RQL
1117,ENSC,231,SURREY,92,90,Woo Soo Kim,LEC
1021,KIN,110,BURNABY,16,16,(null),TUT
1014,KIN,851,BURNABY,9999,0,(null),CNV
1024,CMPT,150,BURNABY,10,1,(null),TUT
1017,KIN,320,BURNABY,9999,0,(null),CNV
1021,KIN,110,BURNABY,192,188,Amandio Vieira,LEC
1004,KIN,499,BURNABY,9999,0,(null),CNV
1007,INTD,600,BURNABY,9999,0,(null),CNV
1007,ETEC,695,BURNABY,9999,0,(null),CNV
1004,CMNS,444,BURNABY,9999,0,(null),CNV
1021,IART,211,SURREY,999,0,(null),OLC
1027,IART,218,SURREY,24,0,(null),INS
1024,ENSC,429,BURNABY,30,20,(null),LEC
1061,KIN,306,HRBRCNTR,15,10,(null),TUT
1021,CMNS,396,BURNABY,40,25,Marcia Shimizu,SEC
1021,TECH,137,SURREY,50,0,(null),STL
1094,KIN,110,HRBRCNTR,18,17,(null),TUT
1124,MACM,101,BURNABY,150,137,Steven Pearce,LEC
1081,KIN,407,BURNABY,13,14,Robert Asmundson,LAB
1081,CMPT,165,BURNABY,35,33,(null),LAB
1004,CMPT,301,BURNABY,9999,0,(null),CNV
1047,REM,412,BURNABY,18,5,". Sessional, Frank Gobas",LEC
1041,CMNS,304,BURNABY,18,18,(null),TUT
1047,CMNS,850,BURNABY,15,2,. Faculty,SEC
1031,TECH,147,SURREY,28,26,Elena Halmaghi,STL
1017,IART,218,BURNABY,9999,0,(null),CNV
1147,ENSC,100W,BURNABY,8,8,(null),TUT
1094,CMNS,230,BURNABY,18,18,(null),TUT
1147,ENSC,100W,BURNABY,8,8,(null),TUT
1097,CMPT,102,BURNABY,60,42,Brian Funt,LEC
1004,CMPT,429,BURNABY,9999,0,(null),CNV
1017,CMNS,425,BURNABY,9999,0,(null),CNV
1021,TECH,112,SURREY,999,0,(null),OLC
1014,TECH,152,BURNABY,9999,0,(null),CNV
1014,KIN,105,BURNABY,9999,0,(null),CNV
1021,KIN,306,BURNABY,18,15,(null),TUT
1011,ITEC,696,BURNABY,9999,0,(null),CNV
1127,ENSC,488,BURNABY,60,45,Kamal Gupta,LEC
1084,CMNS,260,BURNABY,15,0,(null),TUT
1004,CMPT,307,BURNABY,9999,0,(null),CNV
1054,ITEC,401,SURREY,30,25,Helmine Serban,OLC
1151,MSE,280,SURREY,65,0,(null),OPL
1047,KIN,311,BURNABY,17,16,(null),TUT
1041,CMNS,801,BURNABY,0,0,Ellen Balka,SEC
1037,CMPT,250,BURNABY,17,7,(null),TUT
1087,CMNS,260,BURNABY,90,77,Amir Hassan Ghaseminejad Tafreshi,LEC
1121,CMPT,379,SURREY,24,22,Thomas Shermer,LEC
1037,IART,406,SURREY,24,0,Jim Bizzocchi,WKS
1121,ENSC,370,BURNABY,15,0,(null),TUT
1014,REM,100,BURNABY,9999,0,(null),CNV
1154,MSE,293,OFF,20,14,Stephanie DeRapp,SEC
1014,ENSC,201,BURNABY,9999,0,(null),CNV
1001,ITEC,614,BURNABY,9999,0,(null),CNV
1117,ENSC,201,BURNABY,0,0,(null),LEC
1027,CMPT,201,BURNABY,1,1,(null),OPL
1111,ENSC,460,SURREY,20,12,(null),LAB
1061,IAT,332,SURREY,30,26,Alissa Antle,LEC
1077,KIN,343,HRBRCNTR,32,25,Ryan Dill,LEC
1051,ITEC,218,SURREY,24,2,(null),STL
1081,ENSC,225,BURNABY,40,38,(null),TUT
1134,MSE,894,SURREY,10,3,Krishna Vijayaraghavan,LEC
1074,KIN,241,BURNABY,30,29,Donald Hedges,LEC
1114,CMPT,427,OFF,5,0,Frances McLafferty,SEC
1107,ENSC,383,BURNABY,72,72,Carlo Menon,LEC
1077,CMPT,126,HRBRCNTR,18,7,Tamara Smyth,LAB
1027,CMNS,850,BURNABY,15,1,(null),SEC
1137,MSE,393,SURREY,20,0,(null),SEC
1151,ENSC,850,BURNABY,15,0,(null),RQL
1027,IART,216,SURREY,0,0,(null),WKS
1004,ENSC,898,BURNABY,9999,0,(null),CNV
1131,CMPT,885,BURNABY,30,13,Arrvindh Shriraman,LEC
1137,ENSC,215,BURNABY,22,22,William Scratchley,LAB
1144,ENSC,196,OFF,10,7,Harriet Chicoine,SEC
1097,ENSC,100,BURNABY,1,0,(null),RQL
1147,ENSC,100W,BURNABY,8,8,(null),TUT
1034,CMNS,342,HRBRCNTR,90,59,Patricia Howard,LEC
1151,ENSC,428,BURNABY,35,8,Daniel Lee,LEC
1147,ENSC,100W,BURNABY,8,8,(null),TUT
1004,CMPT,816,BURNABY,9999,0,(null),CNV
1011,ITEC,238,BURNABY,9999,0,(null),CNV
1027,ITEC,260,SURREY,24,24,(null),OLC
1024,CMPT,150,BURNABY,10,5,(null),TUT
1014,CMNS,358,BURNABY,9999,0,(null),CNV
1027,CMNS,259,BURNABY,32,34,Norbert Ruebsaat,LEC
1084,CMNS,221,BURNABY,0,0,(null),TUT
1021,KIN,110,BURNABY,16,16,(null),TUT
1021,KIN,110,BURNABY,16,16,(null),TUT
1077,CMPT,761,BURNABY,20,3,Torsten Moller,LEC
1001,ATHL,203,BURNABY,9999,0,(null),CNV
1004,TECH,109,BURNABY,9999,0,(null),CNV
1027,KIN,402,BURNABY,5,0,(null),LEC
1084,CMNS,221,BURNABY,64,61,Stuart Poyntz,LEC
1027,CMNS,456,BURNABY,5,0,Peter Anderson,SEM
1017,CMPT,489,BURNABY,9999,0,(null),CNV
1031,CMPT,354,BURNABY,55,45,Oliver Schulte,LEC
1004,KIN,142,BURNABY,9999,0,(null),CNV
1157,ENSC,370,BURNABY,10,10,Andrew Rawicz,TUT
1074,KIN,110,HRBRCNTR,18,15,(null),TUT
1061,MTEC,313,SURREY,48,35,Haizley Trevor-Smith,OLC
1161,CMPT,429,METRO,15,0,Harriet Chicoine,SEC
1037,ITEC,419,SURREY,24,4,Belgacem Ben Youssef,OLC
1114,CMPT,405,BURNABY,25,16,Petra Berenbrink,LEC
1041,IART,219,SURREY,73,70,"Sara Burton, Teresa Chanyungco, Thomas Calvert",INS
1061,CMPT,120,SURREY,24,23,Wing Xie,LEC
1091,IAT,206,SURREY,24,25,Niranjan Rajah,TUT
1091,IAT,206,SURREY,138,100,Niranjan Rajah,LEC
1151,MSE,726,SURREY,15,14,Gary Wang,TUT
1081,CMNS,882,BURNABY,15,0,. Faculty,SEC
1081,KIN,306,BURNABY,18,17,(null),TUT
1107,ENSC,494,BURNABY,2,0,. Faculty,SEC
1037,TECH,105,SURREY,24,1,Monica Sturgess,INS
1084,CMNS,260,BURNABY,15,11,(null),TUT
1094,ENSC,215,BURNABY,22,20,(null),LAB
1017,IART,600,BURNABY,9999,0,(null),CNV
1027,ENSC,100,BURNABY,0,0,(null),TUT
1031,KIN,140,BURNABY,17,14,(null),TUT
1004,CMPT,481,BURNABY,9999,0,(null),CNV
1074,IAT,312,SURREY,34,32,David Bergman,INS
1107,ENSC,383,BURNABY,72,72,Carlo Menon,TUT
1111,ENSC,280,SURREY,80,0,(null),TUT
1087,CMNS,260,BURNABY,18,18,(null),TUT
1057,CMNS,473,HRBRCNTR,75,70,"Anne Ahmad, Janet Russell",LEC
1094,KIN,305,BURNABY,18,17,(null),TUT
1154,ENSC,303,BURNABY,6,0,(null),SEM
1087,ENSC,895,SURREY,15,0,Majid Bahrami,LEC
1037,CMNS,261,BURNABY,0,0,(null),TUT
1087,MACM,101,HRBRCNTR,50,31,Steven Pearce,TUT
1004,ENSC,296,BURNABY,9999,0,(null),CNV
1071,ENSC,894,BURNABY,10,10,(null),LAB
1061,KIN,870,BURNABY,15,0,(null),SEM
1101,ENSC,283,SURREY,22,22,(null),LAB
1101,ENSC,897,BURNABY,45,1,. Faculty,SEC
1091,IAT,235,SURREY,24,24,Aaron Levisohn,STL
1087,CMNS,240,BURNABY,18,19,(null),TUT
1081,KIN,802,BURNABY,25,14,. Sessional,LEC
1011,CMPT,354,BURNABY,9999,0,(null),CNV
1087,CMPT,470,BURNABY,50,44,Anthony Chan,LEC
1084,CMNS,110,BURNABY,120,112,Donald Gutstein,SEC
1004,REM,311,BURNABY,9999,0,(null),CNV
1091,ENSC,896,BURNABY,50,1,(null),SEC
1094,KIN,305,BURNABY,18,18,(null),TUT
1081,KIN,304W,BURNABY,16,16,(null),TUT
1021,ITEC,606,SURREY,5,0,(null),SEC
1157,ENSC,370,BURNABY,10,10,Andrew Rawicz,SEM
1131,ENSC,460,SURREY,20,0,(null),LEC
1047,IART,406,SURREY,24,25,Jim Bizzocchi,STL
1027,ITEC,260,SURREY,24,22,(null),OLC
1031,TECH,158,SURREY,28,29,(null),INS
1074,CMNS,446,BURNABY,25,4,Peter Chow-White,SEM
1107,ENSC,894,BURNABY,6,4,Kamal Gupta,LEC
1057,CMNS,473,HRBRCNTR,15,16,(null),LAB
1061,IAT,208,SURREY,24,23,Donald Perro,STL
1007,ENSC,201,BURNABY,9999,0,(null),CNV
1037,IART,213,SURREY,31,0,(null),STL
1144,MSE,892,SURREY,15,3,(null),SEC
1127,ENSC,894,BURNABY,8,4,Glenn Chapman,LEC
1007,CMNS,891,BURNABY,9999,0,(null),CNV
1074,CMNS,363,BURNABY,20,15,(null),LAB
1041,IART,331,SURREY,24,12,Thecla Schiphorst,WKS
1067,CMNS,858,HRBRCNTR,2,0,Linda Harasim,SEM
1064,CMNS,223,BURNABY,18,16,(null),TUT
1057,IART,495,SURREY,2,2,James Budd,SEC
1014,CMNS,428,BURNABY,9999,0,(null),CNV
1144,MACM,101,BURNABY,24,23,Steven Pearce,TUT
1084,CMNS,372,BURNABY,65,65,Ian Chunn,SEC
1081,TECH,114,SURREY,48,23,C. Andrew Paulin,LEC
1081,ENSC,295,BURNABY,40,36,(null),SEC
1071,REM,652,HRBRCNTR,12,6,Alison Gill,SEM
1111,CMPT,307,BURNABY,85,84,Valentine Kabanets,LEC
